group,date,party,country,year,month,special
1,10/18/17,2,Germany,2017,10,
1,10/18/17,2,Austria,2017,10,
2,10/26/17,1,England,2017,10,
3,10/30/17,2,Czech Republic,2017,10,
4,10/31/17,2,Austria,2017,10,
5,11/1/17,1,France,2017,11,
6,12/29/17,2,England,2017,12,
7,3/29/18,1,France,2018,3,
8,4/18/18,2,Canada,2018,4,
9,4/23/18,2,Germany,2018,4,
10,5/2/18,2,Poland,2018,5,
11,5/5/18,17,Italy,2018,5,Arberish
12,5/8/18,1,Germany,2018,5,
13,5/9/18,2,Austria,2018,5,
14,5/17/18,2,Italy,2018,5,
15,5/21/18,2,Turkey,2018,5,
16,5/22/18,2,Germany,2018,5,
17,6/7/18,3,Germany,2018,6,
18,6/11/18,4,Germany,2018,6,
19,6/12/18,1,Germany,2018,6,
20,6/13/18,5,Germany,2018,6,
20,6/13/18,5,Germany,2018,6,
20,6/13/18,5,France,2018,6,
20,6/13/18,5,Albania,2018,6,
21,6/13/18,3,France,2018,6,
22,6/17/18,6,Belgium,2018,6,
23,6/25/18,2,Netherland,2018,6,
24,6/26/18,2,Albania,2018,6,
25,7/3/18,2,Germany,2018,7,
26,7/12/18,2,New Zealand,2018,7,
27,7/5/18,3,Switzerland,2018,7,
28,7/12/18,2,Germany,2018,7,
29,7/12/18,2,New Zealand,2018,7,
30,7/13/18,2,Czech Republic,2018,7,
31,7/18/18,2,England,2018,7,
32,7/23/18,1,Switzerland,2018,7,
33,7/23/18,6,Czech Republic,2018,7,
34,7/23/18,5,Germany,2018,7,
35,7/24/18,4,France,2018,7,
36,7/27/18,3,Germany,2018,7,
37,7/30/18,2,Netherland,2018,7,
38,7/30/18,4,Austria,2018,7,
39,7/31/18,4,France,2018,7,
40,7/31/18,2,Germany,2018,7,
41,7/31/18,7,France,2018,7,
42,8/1/18,1,France,2018,8,
43,8/2/18,2,France,2018,8,
44,8/2/18,2,Belgium,2018,8,
45,8/3/18,1,Ukraine,2018,8,
46,8/3/18,2,France,2018,8,
47,8/6/18,2,Germany,2018,8,
48,8/5/18,1,France,2018,8,
49,8/7/18,4,Germany,2018,8,
50,8/8/18,3,France,2018,8,
51,8/9/18,1,France,2018,8,
52,8/9/18,2,France,2018,8,
53,8/10/18,2,Germany,2018,8,
54,8/10/18,3,Italy,2018,8,
55,8/11/18,3,France,2018,8,
56,8/14/18,3,Germany,2018,8,
57,8/14/18,3,Netherland,2018,8,
58,8/15/18,1,Poland,2018,8,
59,8/16/18,2,Belgium,2018,8,
60,8/17/18,2,France,2018,8,
61,8/17/18,3,Germany,2018,8,
62,8/22/18,2,Austria,2018,8,
63,8/22/18,2,Germany,2018,8,
64,8/26/18,2,Switzerland,2018,8,
65,8/28/18,2,Austria,2018,8,
66,8/28/18,1,Germany,2018,8,
67,8/30/18,2,Netherland,2018,8,
68,8/30/18,1,Germany,2018,8,
69,8/31/18,1,France,2018,8,
70,9/3/18,3,Germany,2018,9,
71,9/3/18,2,France,2018,9,
72,9/4/18,2,France,2018,9,
73,9/7/18,1,Germany,2018,9,
74,9/7/18,1,Czech Republic,2018,9,
75,9/7/18,2,Switzerland,2018,9,
76,9/11/18,2,Belgium,2018,9,
77,9/13/18,1,Germany,2018,9,
78,9/13/18,4,Netherland,2018,9,
79,9/14/18,2,Germany,2018,9,
80,9/18/18,2,France,2018,9,
81,9/18/18,2,Albania,2018,9,
82,9/19/18,4,Sweden,2018,9,
